week,english,norwegian
1,greedy,grådig
1,above all,meir enn noko anna
1,selfish,egoistisk
1,spirits,ånder
1,regretful,angrande
1,ashamed,skamfull
1,positively,til og med, sanneleg
1,grateful,takknemleg
1,various,forskjellige
1,rush of happiness,lykkerus
