username,date,time,mode,weeks,total_questions,correct_answers,score_percentage
Student,2025-12-06,14:13:20,Mode A (Random),Week 48,10,1,10.0
Student,2025-12-06,17:10:56,Mode A (Sequential),Week 48,10,7,70.0
